2024-03-13 17:39:04,252 INFO  [restartedMain] com.dev.HiddenBATHJar.HiddenBathJarApplication : Starting HiddenBathJarApplication using Java 17.0.8.1 with PID 20364 (D:\BigData\NewWork\ClientSiteJava17\HiddenBATHJar\target\classes started by thra_ in D:\BigData\NewWork\ClientSiteJava17\HiddenBATHJar)
2024-03-13 17:39:04,253 INFO  [restartedMain] com.dev.HiddenBATHJar.HiddenBathJarApplication : The following 1 profile is active: "prod"
2024-03-13 17:39:04,285 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-03-13 17:39:04,286 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-03-13 17:39:04,709 INFO  [restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2024-03-13 17:39:04,710 INFO  [restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate : Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2024-03-13 17:39:04,726 INFO  [restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 12 ms. Found 0 JDBC repository interfaces.
2024-03-13 17:39:04,733 INFO  [restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2024-03-13 17:39:04,733 INFO  [restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-03-13 17:39:04,738 INFO  [restartedMain] org.springframework.data.repository.config.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 2 ms. Found 0 JPA repository interfaces.
2024-03-13 17:39:05,183 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port(s): 8080 (http)
2024-03-13 17:39:05,190 INFO  [restartedMain] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2024-03-13 17:39:05,190 INFO  [restartedMain] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-03-13 17:39:05,259 INFO  [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2024-03-13 17:39:05,259 INFO  [restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 973 ms
2024-03-13 17:39:05,365 INFO  [restartedMain] com.zaxxer.hikari.HikariDataSource : HikariCP - Starting...
2024-03-13 17:39:05,426 INFO  [restartedMain] com.zaxxer.hikari.pool.HikariPool : HikariCP - Added connection org.mariadb.jdbc.Connection@6a4c3455
2024-03-13 17:39:05,428 INFO  [restartedMain] com.zaxxer.hikari.HikariDataSource : HikariCP - Start completed.
2024-03-13 17:39:05,685 INFO  [restartedMain] org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo : No LoadTimeWeaver setup: ignoring JPA class transformer
2024-03-13 17:39:05,913 INFO  [restartedMain] org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-03-13 17:39:05,955 WARN  [restartedMain] org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-03-13 17:39:05,976 WARN  [restartedMain] org.springframework.boot.autoconfigure.security.servlet.UserDetailsServiceAutoConfiguration : 

Using generated security password: 5983c5aa-eb5d-4a73-9beb-621efe429f0b

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2024-03-13 17:39:06,188 INFO  [restartedMain] org.springframework.security.web.DefaultSecurityFilterChain : Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5da34b3d, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3067dc00, org.springframework.security.web.context.SecurityContextHolderFilter@47a772eb, org.springframework.security.web.header.HeaderWriterFilter@66b92bee, org.springframework.security.web.authentication.logout.LogoutFilter@29c7d01c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2eea6c4e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@55f3c38b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@49741ca4, org.springframework.security.web.access.ExceptionTranslationFilter@39c729f1, org.springframework.security.web.access.intercept.AuthorizationFilter@6f80553c]
2024-03-13 17:39:06,524 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : LiveReload server is running on port 35729
2024-03-13 17:39:06,552 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port(s): 8080 (http) with context path ''
2024-03-13 17:39:06,560 INFO  [restartedMain] com.dev.HiddenBATHJar.HiddenBathJarApplication : Started HiddenBathJarApplication in 2.61 seconds (process running for 3.227)
2024-03-13 17:39:14,146 INFO  [http-nio-8080-exec-1] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-13 17:39:14,346 WARN  [http-nio-8080-exec-1] org.thymeleaf.standard.processor.AbstractStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8080-exec-1][front/index] Deprecated unwrapped fragment expression "fragments/front/clean/common :: cleanHead" found in template front/index, line 4, col 7. Please use the complete syntax of fragment expressions instead ("~{fragments/front/clean/common :: cleanHead}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2024-03-13 17:39:14,376 WARN  [http-nio-8080-exec-1] org.thymeleaf.standard.processor.AbstractStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8080-exec-1][front/index] Deprecated unwrapped fragment expression "fragments/front/clean/common :: cleanHeader" found in template front/index, line 8, col 58. Please use the complete syntax of fragment expressions instead ("~{fragments/front/clean/common :: cleanHeader}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2024-03-13 17:39:14,391 WARN  [http-nio-8080-exec-1] org.thymeleaf.standard.processor.AbstractStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8080-exec-1][front/index] Deprecated unwrapped fragment expression "fragments/front/clean/common :: cleanFooter" found in template front/index, line 657, col 4. Please use the complete syntax of fragment expressions instead ("~{fragments/front/clean/common :: cleanFooter}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2024-03-13 17:39:14,395 WARN  [http-nio-8080-exec-1] org.thymeleaf.standard.processor.AbstractStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8080-exec-1][front/index] Deprecated unwrapped fragment expression "fragments/front/clean/common :: cleanScript" found in template front/index, line 660, col 12. Please use the complete syntax of fragment expressions instead ("~{fragments/front/clean/common :: cleanScript}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2024-03-13 17:39:27,676 WARN  [http-nio-8080-exec-4] org.thymeleaf.standard.processor.AbstractStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8080-exec-4][front/construction] Deprecated unwrapped fragment expression "fragments/front/clean/common :: cleanHead" found in template front/construction, line 4, col 7. Please use the complete syntax of fragment expressions instead ("~{fragments/front/clean/common :: cleanHead}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2024-03-13 17:39:27,679 WARN  [http-nio-8080-exec-4] org.thymeleaf.standard.processor.AbstractStandardFragmentInsertionTagProcessor : [THYMELEAF][http-nio-8080-exec-4][front/construction] Deprecated unwrapped fragment expression "fragments/front/clean/common :: cleanHeader" found in template front/construction, line 9, col 4. Please use the complete syntax of fragment expressions instead ("~{fragments/front/clean/common :: cleanHeader}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
